date,60_40 portfolio,ml_gb portfolio,ml_rf portfolio,ml_svr portfolio,gan_nn portfolio,gan_lstm portfolio,gan_tcn portfolio
2019-07-03,106.51151002597676,136.6420100993497,156.1225896216303,162.04817183435156,168.96640617670897,166.6242305511234,168.9222608666762
2019-07-04,106.51151002597676,136.6420100993497,156.1225896216303,162.04817183435156,168.96640617670897,166.6242305511234,168.9222608666762
2019-07-05,108.40284062649945,137.82676492526457,158.1859439135282,162.8842431580269,171.30329056766342,170.55930664408183,171.92406732639853
2019-07-08,107.79201618944676,137.08433614874897,157.17183213812845,162.08884109008184,170.49692458801843,169.52509561397167,170.97941432758307
2019-07-09,108.29508142862164,137.49795564438955,157.73471616722674,162.500916588512,171.21434284365205,170.4721105065268,171.78137556172007
2019-07-10,108.73567135927537,138.19021544744186,158.34839891670424,163.3230191287084,172.10537624397972,171.18026329590256,172.5664149940044
2019-07-11,110.13229651685293,138.93531212691425,159.50972283495355,164.040793952798,173.90918575544018,173.72879288147595,174.6558859065406
2019-07-12,110.13790936580683,139.30855322972317,159.86531610679188,164.535431505853,173.98942609372057,173.57142525107497,174.6754102023651
2019-07-15,109.85337143316153,138.85722011518277,159.2514456130714,164.18028419552016,173.5414969281814,172.8588559759723,174.1123420562794
2019-07-16,110.26449400450126,139.10560793072187,159.73767985947597,164.30225219155918,174.12792770789463,173.8968055424291,174.8442771108604
2019-07-17,108.54738688413178,137.83785931117126,157.76936246092282,163.061800347991,172.04084928791744,170.83456141654523,172.29034964570508
2019-07-18,108.29366522692796,137.71558510795748,157.5512356612931,163.1218389315153,171.65564181714947,170.07336007203963,171.78035328076734
2019-07-19,108.10246548402486,137.51966040442827,157.28217964267554,162.73057282371948,171.52875174658882,170.10340753558643,171.65911139596824
2019-07-22,108.1799948370139,137.42899819288215,157.1631543237984,162.7589656466778,171.54001899805485,169.99079235158456,171.6374866283539
2019-07-23,109.28049842867925,138.3337641697036,158.47999916661485,163.73295209722465,172.88414601142742,171.80460133022416,173.2349774333429
2019-07-24,109.0796343980052,138.77662013832793,159.01518639237545,164.25899331795728,172.61876575244787,171.33599929787033,172.96702594404525
2019-07-25,109.24131744492959,138.32538267311764,158.6064666256613,163.65519573133076,172.7081812604667,171.80076874639437,173.16512808988008
2019-07-26,109.87236532453049,139.1693493198308,159.69642104231437,164.67289531455884,173.57006559474976,172.70849004695597,174.09631253988815
2019-07-29,109.21606733291962,138.49369325478358,158.7123633803448,164.0297192912238,172.66614270347333,171.4089753640605,173.02102685523118
2019-07-30,109.17339516660736,139.11776280997674,159.40095251851895,164.5471168149473,172.9725399455902,171.76417857686246,173.30197720403922
2019-07-31,107.61351272495696,137.77099326677637,157.61688252383527,162.96334600465406,170.88863938290655,169.30710157754632,171.0245094596073
2019-08-01,104.342381471955,134.29316262797212,152.95158001665078,159.52935196587288,165.6412772470977,162.52890007121093,165.18337530371508
2019-08-02,103.02702185677785,134.63788109470877,153.53530343694035,159.82359251122622,166.76229857284397,163.24394222999283,165.97655999947773
2019-08-05,98.5319768087035,133.21801761919326,152.18594984287822,157.49239427315692,166.0900656475991,161.86394609847915,164.74685981357504
2019-08-06,99.40503198531027,133.91853792903143,153.06121184411535,158.27446900054284,166.96014361786015,163.12953526260088,165.78056537573352
2019-08-07,98.23987451255762,134.69117687548527,154.30817015845497,158.8835872469925,168.68448500935585,164.9635793768995,167.34064634970522
2019-08-08,100.09198854211743,135.8525124735168,155.35139993818476,159.96491280529673,169.46708448729711,165.92418167875897,168.3881116062272
2019-08-09,100.07657816035392,135.58923843872188,155.00126620639423,160.03873879699836,169.30292801817566,165.32870614944275,168.03335977307367
2019-08-12,97.22110495711705,134.7394141249556,154.1900254267302,158.24275979109999,168.79149354662255,164.6961693256436,167.33966239312792
2019-08-13,99.04919327439025,135.69322087272766,155.10427569650358,159.50070796800668,169.65751998388302,165.6103798546776,168.34328879117626
2019-08-14,95.05061780032646,134.12230273682323,153.58407997466466,157.2260129841266,168.64447346349567,164.03894462068175,166.8546941529789
2019-08-15,94.05310254379292,133.98123062676217,153.43722571031356,156.505716710103,168.72848165834282,164.13502108104808,166.92040738226962
2019-08-16,95.14421916311454,134.62967106003487,154.0783919325006,156.92052242702792,168.9984490234365,164.91118884902386,167.51322059341908
2019-08-19,97.18561185932326,134.91827052661512,154.30376276584644,157.71488879015791,168.8902967659217,165.168028854886,167.66967746415494
2019-08-20,95.87977651430806,134.57871799543204,153.95633238484498,157.02351869694056,168.72107883760933,164.77195120183757,167.34924460965811
2019-08-21,96.73938070947987,135.06372403771456,154.47717427809047,157.61627513415752,169.15777668941502,165.39014362510892,167.90403242197848
2019-08-22,97.43521135943865,134.71227022664056,154.07958950566828,157.6740321398193,168.61569653060164,164.95317948480331,167.42222389866242
2019-08-23,94.0206789822224,133.9202634909535,153.52439044589357,156.61984334687563,168.85151435439744,164.45199434418413,167.05380642390023
2019-08-26,95.05810988481089,134.6005745833265,154.2342116310875,157.3608297367196,169.45711399698288,165.2568066458205,167.80683687020507
2019-08-27,93.65067673177043,134.63125070742944,154.334503485167,157.0025709410618,170.09897889351433,165.5214722292417,168.19996901928226
2019-08-28,93.51987469030168,135.08570752849178,154.71311645447256,156.88969680168773,170.40011125229404,165.87090615823317,168.60057933128613
2019-08-29,95.39834281949508,135.68330898466954,155.23751408225425,157.7660022221729,170.5529579686884,166.3350093246838,169.01996060848455
2019-08-30,95.21782610043368,135.19161145685882,154.67098399153934,157.10117850024074,169.89384873371432,165.85927293877066,168.4536241524343
2019-09-02,95.19332458386558,134.90331873675066,154.2661807166659,156.75982017058712,169.45520872536153,165.4386633541594,168.01648658702203
2019-09-03,93.78792351204797,133.21652440564318,152.02393001377803,154.5328858938672,166.96360111123437,162.61376429388244,165.39604927821162
2019-09-04,94.22592185678752,133.99416599297928,152.8332510165654,155.35468077562564,167.71717405814312,163.02921560469065,166.0686437506679
2019-09-05,97.6519438789171,137.59853343825338,157.61595645516243,160.55313693364008,173.83489673906226,169.90277021517036,172.1534891469351
2019-09-06,97.32557552678497,137.0012252429375,156.93430350438373,159.7361576508534,172.95150306628807,168.98639147770712,171.30448088013074
2019-09-09,99.14054090460748,139.48136200265625,160.00776317780657,163.46549674353065,177.12074655311437,173.33861078664103,175.2516969554458
2019-09-10,101.18197770532196,142.0465793762512,163.26394127363852,167.4020035761105,181.59705024413364,178.10202584903814,179.50389934614597
2019-09-11,102.38617341125732,143.8966004748185,165.57611148520468,169.26751247816563,183.59988542279626,180.65727271596876,181.9482178357362
2019-09-12,104.02126052685736,145.61627017834888,167.7261073782832,172.10049689449278,186.96714569307167,184.1250036993795,184.96205532463387
2019-09-13,106.81048963603962,148.62654227500448,171.59362129743892,177.15137927780975,192.94275888094737,190.4633833857007,190.4133452106139
2019-09-16,105.05885130318022,147.63431347049018,169.94579309534524,175.63868252508888,190.6576237658657,187.08264473653304,187.89130693668056
2019-09-17,104.47668655212405,146.51146798002802,168.6842085666713,173.66183341333064,188.59776567425433,185.3982893702133,186.232477760312
2019-09-18,103.83941163027741,145.51811651366015,167.4749401281275,172.19722083326067,187.0134364344229,183.7934504717482,184.73188584091702
2019-09-19,103.53717968153049,144.94508825164917,166.82262276232524,171.482900360822,186.25370523105215,182.9868723829984,183.9656274218143
2019-09-20,102.76949601024157,144.25234954141268,165.90427319743455,170.40695995799277,184.9632856242951,181.64901456248535,182.76926124034873
2019-09-23,101.57549772285863,143.19387405524563,164.39848669633466,168.6370628806644,182.76692263634743,179.05505371411257,180.6265034057154
2019-09-24,99.23834597061733,140.3021119689549,160.7668375463958,164.57041433270456,178.16306344130754,174.151094529085,176.13386284756479
2019-09-25,102.04744756727472,143.25604017409248,164.69731634842958,169.03834437502383,183.44519281571678,180.07319209451776,181.29888708717743
2019-09-26,100.7176110665983,141.44945606132885,162.44994326512656,166.4986101520263,180.6143646506266,177.04640873456478,178.5217018655817
2019-09-27,100.15581667320464,140.5724225666015,161.42998305098052,165.55282032392768,179.6152768494475,175.9914169716704,177.44965428333995
2019-09-30,100.44759627861457,140.4884226089169,161.55771300697342,165.38611695185412,179.52334299007146,176.1419796431637,177.53972899101487
